% Output from Matlab function sfrmat3.m
% Analysis:  Spatial Frequency Response
% 25-Jun-2018 17:07:50
% Image/data evaluated:  D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\middle.JPG
% This output file: D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\re.txt
% Selected region: (2821, 2905), to (3031, 3301)
% OECF applied: none
%Sampling intervals	0.992	0.248
%Sampling Efficiency r,g,b,Lum	100	100	100	100
%  
% Frequency	    SFR-r	    SFR-g	    SFR-b	    Lum
  81.507	   0.0093	   0.0066	   0.0034	   0.0051
  82.314	   0.0078	   0.0129	   0.0094	   0.0092
  83.121	   0.0038	   0.0147	   0.0105	   0.0094
  83.928	   0.0018	   0.0126	   0.0063	   0.0073
  84.735	   0.0024	   0.0119	   0.0014	   0.0069
  85.542	   0.0026	   0.0114	   0.0036	   0.0067
  86.349	   0.0044	   0.0064	   0.0053	   0.0048
  87.156	   0.0054	   0.0036	   0.0098	   0.0046
  87.963	   0.0088	   0.0050	   0.0060	   0.0052
  88.770	   0.0105	   0.0102	   0.0073	   0.0102
  89.577	   0.0059	   0.0093	   0.0093	   0.0074
  90.384	   0.0108	   0.0026	   0.0046	   0.0028
  91.191	   0.0108	   0.0006	   0.0031	   0.0011
  91.998	   0.0058	   0.0081	   0.0040	   0.0062
  92.805	   0.0068	   0.0114	   0.0035	   0.0099
  93.612	   0.0062	   0.0108	   0.0025	   0.0098
  94.419	   0.0076	   0.0095	   0.0054	   0.0087
  95.226	   0.0078	   0.0099	   0.0075	   0.0072
  96.033	   0.0128	   0.0088	   0.0079	   0.0045
  96.840	   0.0170	   0.0100	   0.0088	   0.0102
  97.647	   0.0185	   0.0128	   0.0121	   0.0130
  98.454	   0.0164	   0.0151	   0.0126	   0.0121
  99.261	   0.0180	   0.0174	   0.0126	   0.0147
 100.068	   0.0192	   0.0249	   0.0138	   0.0220
 100.875	   0.0152	   0.0272	   0.0134	   0.0214
 101.682	   0.0107	   0.0263	   0.0131	   0.0177
 102.489	   0.0083	   0.0200	   0.0102	   0.0123
 103.296	   0.0056	   0.0144	   0.0072	   0.0110
 104.103	   0.0060	   0.0112	   0.0046	   0.0097
 104.910	   0.0072	   0.0171	   0.0124	   0.0133
 105.717	   0.0039	   0.0192	   0.0163	   0.0132
 106.524	   0.0081	   0.0128	   0.0081	   0.0059
 107.331	   0.0078	   0.0190	   0.0057	   0.0136
 108.138	   0.0062	   0.0253	   0.0090	   0.0182
 108.945	   0.0101	   0.0258	   0.0065	   0.0185
 109.752	   0.0100	   0.0254	   0.0105	   0.0177
 110.559	   0.0045	   0.0270	   0.0121	   0.0183
 111.366	   0.0086	   0.0249	   0.0151	   0.0170
 112.173	   0.0125	   0.0195	   0.0142	   0.0121
 112.980	   0.0177	   0.0185	   0.0124	   0.0128
 113.787	   0.0210	   0.0187	   0.0150	   0.0122
 114.594	   0.0222	   0.0160	   0.0149	   0.0146
 115.401	   0.0195	   0.0170	   0.0208	   0.0179
 116.208	   0.0192	   0.0100	   0.0216	   0.0149
 117.015	   0.0264	   0.0072	   0.0195	   0.0133
 117.822	   0.0216	   0.0065	   0.0123	   0.0048
 118.629	   0.0151	   0.0115	   0.0141	   0.0103
 119.436	   0.0141	   0.0143	   0.0174	   0.0194
 120.243	   0.0047	   0.0133	   0.0129	   0.0120
 121.050	   0.0144	   0.0037	   0.0101	   0.0030
 121.857	   0.0103	   0.0110	   0.0022	   0.0098
 122.664	   0.0025	   0.0079	   0.0043	   0.0118
 123.471	   0.0045	   0.0092	   0.0065	   0.0089
 124.278	   0.0181	   0.0181	   0.0157	   0.0177
 125.085	   0.0318	   0.0257	   0.0179	   0.0260
 125.892	   0.0372	   0.0466	   0.0250	   0.0435
 126.699	   0.0465	   0.0494	   0.0299	   0.0453
 127.506	   0.0327	   0.0723	   0.0427	   0.0606
 128.313	   0.0165	   0.0905	   0.0504	   0.0802
 129.120	   0.0055	   0.0674	   0.0394	   0.0642
 129.927	   0.0141	   0.0643	   0.0346	   0.0612
 130.734	   0.0128	   0.0526	   0.0235	   0.0441
 131.541	   0.0207	   0.0342	   0.0194	   0.0272
 132.348	   0.0250	   0.0519	   0.0333	   0.0355
 133.155	   0.0251	   0.0776	   0.0504	   0.0558
 133.962	   0.0188	   0.0433	   0.0258	   0.0324
 134.769	   0.0073	   0.0264	   0.0111	   0.0122
 135.576	   0.0135	   0.0155	   0.0147	   0.0202
 136.383	   0.0195	   0.0378	   0.0181	   0.0410
 137.190	   0.0126	   0.0381	   0.0173	   0.0316
 137.997	   0.0058	   0.0262	   0.0287	   0.0188
 138.804	   0.0149	   0.0232	   0.0107	   0.0106
 139.611	   0.0426	   0.0318	   0.0151	   0.0251
 140.418	   0.0402	   0.0250	   0.0062	   0.0060
 141.225	   0.0291	   0.0170	   0.0166	   0.0174
 142.032	   0.0284	   0.0271	   0.0251	   0.0180
 142.839	   0.0109	   0.0282	   0.0272	   0.0246
 143.646	   0.0375	   0.0106	   0.0148	   0.0100
 144.453	   0.0566	   0.0377	   0.0422	   0.0325
 145.260	   0.0548	   0.0555	   0.0389	   0.0403
 146.067	   0.0493	   0.0410	   0.0314	   0.0319
 146.874	   0.0120	   0.0780	   0.0429	   0.0587
 147.681	   0.0196	   0.0918	   0.0342	   0.0710
